epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,1573.8,0.90647,1.00752,1.22711,0.80952,0.68041,0.77605,0.53214,1.09278,0.70944,1.3188,0.005545,0.005545,0.005545
20,3160.57,0.90035,0.99566,1.22333,0.80729,0.68259,0.77551,0.54428,1.02493,0.67797,1.2532,0.0052975,0.0052975,0.0052975
21,4709.92,0.88585,0.97275,1.2179,0.80913,0.67782,0.7764,0.55989,0.96397,0.6625,1.22039,0.00505,0.00505,0.00505
22,6278.32,0.884,0.96011,1.21532,0.82549,0.69082,0.7841,0.55523,1.00432,0.65811,1.25075,0.0048025,0.0048025,0.0048025
23,7854.27,0.86955,0.93868,1.20636,0.80702,0.71039,0.7887,0.55482,1.02275,0.65366,1.26134,0.004555,0.004555,0.004555
24,9437.43,0.87345,0.92997,1.20834,0.82496,0.69373,0.78709,0.56718,0.96191,0.64403,1.21473,0.0043075,0.0043075,0.0043075
25,11018.3,0.86108,0.91464,1.20177,0.82008,0.70076,0.79553,0.57526,0.94433,0.62364,1.19711,0.00406,0.00406,0.00406
26,12640.2,0.85063,0.89959,1.19709,0.83314,0.70484,0.80154,0.57869,0.94125,0.62173,1.20112,0.0038125,0.0038125,0.0038125
27,14263.9,0.85309,0.89292,1.19632,0.80424,0.71235,0.80127,0.57712,0.95056,0.61129,1.20634,0.003565,0.003565,0.003565
28,15899.9,0.85021,0.88447,1.19123,0.80918,0.71949,0.80566,0.57847,0.95165,0.61465,1.20444,0.0033175,0.0033175,0.0033175
29,17536.2,0.83779,0.86105,1.18659,0.80418,0.72696,0.80526,0.58324,0.93598,0.61234,1.19789,0.00307,0.00307,0.00307
30,19180.8,0.83351,0.85328,1.18669,0.81773,0.7227,0.81129,0.5865,0.92167,0.60146,1.18447,0.0028225,0.0028225,0.0028225
31,20864.6,0.68958,0.65939,1.15895,0.81923,0.71404,0.80649,0.59723,0.86008,0.58219,1.14111,0.002575,0.002575,0.002575
32,22502.8,0.67597,0.63262,1.1516,0.81941,0.71229,0.80723,0.59987,0.83606,0.57719,1.12697,0.0023275,0.0023275,0.0023275
33,24103,0.6671,0.61715,1.1425,0.83139,0.7089,0.80711,0.60091,0.84298,0.57432,1.1293,0.00208,0.00208,0.00208
34,25667.6,0.65729,0.59854,1.13636,0.84338,0.7068,0.81279,0.59948,0.86659,0.57591,1.14838,0.0018325,0.0018325,0.0018325
35,27199.8,0.64533,0.57294,1.13038,0.83746,0.70533,0.81162,0.60263,0.85098,0.57306,1.13927,0.001585,0.001585,0.001585
36,28714.6,0.63936,0.56569,1.12354,0.82829,0.70571,0.8093,0.60357,0.84072,0.57255,1.1337,0.0013375,0.0013375,0.0013375
37,30208.8,0.63343,0.5538,1.12287,0.82096,0.7077,0.80612,0.60359,0.82405,0.57208,1.12216,0.00109,0.00109,0.00109
38,31663.7,0.62718,0.53972,1.11381,0.81446,0.71317,0.80396,0.60471,0.80988,0.56958,1.11025,0.0008425,0.0008425,0.0008425
39,33107.5,0.61752,0.52241,1.10858,0.81122,0.7166,0.80149,0.6062,0.79973,0.56855,1.10263,0.000595,0.000595,0.000595
40,34550.7,0.60664,0.50944,1.10396,0.81105,0.71538,0.80371,0.6094,0.79471,0.5661,1.09836,0.0003475,0.0003475,0.0003475
