epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.361,1.29087,3.4864,1.10044,0.2701,0.24013,0.15588,0.10825,1.65987,2.78001,1.39493,0.000331263,0.000331263,0.000331263
2,184.686,1.26574,2.06966,1.04087,0.22066,0.34295,0.21078,0.13945,1.52411,2.2715,1.30476,0.000658017,0.000658017,0.000658017
3,257.778,1.12838,1.66295,1.01169,0.3565,0.38033,0.27582,0.19503,1.36902,1.81898,1.2509,0.000978171,0.000978171,0.000978171
4,326.887,1.05672,1.53361,1.00545,0.41805,0.38563,0.31495,0.23262,1.33147,1.69411,1.24079,0.0009703,0.0009703,0.0009703
5,392.483,1.03209,1.38369,0.98974,0.53116,0.39943,0.35842,0.26206,1.29134,1.60348,1.20519,0.0009604,0.0009604,0.0009604
6,457.104,0.99962,1.35041,0.98177,0.51095,0.41642,0.38762,0.2897,1.28152,1.59293,1.23232,0.0009505,0.0009505,0.0009505
7,521.603,0.9793,1.28069,0.97468,0.56926,0.41111,0.40489,0.30616,1.26844,1.56844,1.20152,0.0009406,0.0009406,0.0009406
8,585.703,1.0031,1.26084,0.97443,0.63045,0.43027,0.44057,0.33327,1.28763,1.48846,1.20514,0.0009307,0.0009307,0.0009307
9,649.789,0.952,1.18211,0.96817,0.66281,0.41497,0.43742,0.33053,1.25771,1.46838,1.20991,0.0009208,0.0009208,0.0009208
10,712.492,0.95959,1.15105,0.96103,0.62957,0.44818,0.46261,0.35295,1.22301,1.41357,1.19035,0.0009109,0.0009109,0.0009109
11,774.931,0.94192,1.11589,0.95688,0.709,0.45215,0.46731,0.3599,1.25215,1.35069,1.20407,0.000901,0.000901,0.000901
12,837.408,0.93948,1.09423,0.95278,0.72546,0.44483,0.48003,0.36419,1.20685,1.3324,1.17942,0.0008911,0.0008911,0.0008911
13,898.97,0.92078,1.03596,0.95113,0.6749,0.45798,0.47258,0.36322,1.20529,1.35802,1.20062,0.0008812,0.0008812,0.0008812
14,962.089,0.93564,1.02296,0.95948,0.64481,0.43204,0.45846,0.35535,1.23106,1.3581,1.20752,0.0008713,0.0008713,0.0008713
15,1025.16,0.90158,0.99243,0.95072,0.64864,0.46123,0.47149,0.36505,1.18854,1.3434,1.18677,0.0008614,0.0008614,0.0008614
16,1087.47,0.88307,0.96319,0.94135,0.66276,0.45589,0.47094,0.36243,1.20642,1.31929,1.19234,0.0008515,0.0008515,0.0008515
17,1151.42,0.89013,0.97132,0.94431,0.71767,0.45146,0.48963,0.38091,1.18578,1.28924,1.1822,0.0008416,0.0008416,0.0008416
18,1216.49,0.89037,0.96327,0.94209,0.72402,0.45187,0.48907,0.37254,1.17319,1.2574,1.164,0.0008317,0.0008317,0.0008317
19,1279.92,0.88246,0.93676,0.94525,0.6897,0.46674,0.49249,0.37886,1.19155,1.30369,1.19362,0.0008218,0.0008218,0.0008218
20,1343.75,0.86547,0.89411,0.92851,0.70298,0.46562,0.4906,0.3794,1.16827,1.27621,1.16582,0.0008119,0.0008119,0.0008119
21,1407.59,0.86834,0.91442,0.9345,0.6551,0.4617,0.48038,0.36859,1.16897,1.32661,1.18224,0.000802,0.000802,0.000802
22,1471.82,0.8552,0.89676,0.93006,0.76086,0.45042,0.49417,0.3806,1.16545,1.22524,1.15612,0.0007921,0.0007921,0.0007921
23,1535.11,0.88232,0.90458,0.9405,0.69917,0.45983,0.48927,0.37453,1.15993,1.26492,1.15663,0.0007822,0.0007822,0.0007822
24,1598.73,0.85298,0.89719,0.92768,0.70252,0.46058,0.49437,0.3808,1.16194,1.23737,1.15907,0.0007723,0.0007723,0.0007723
25,1663.63,0.83597,0.86052,0.92553,0.70183,0.46882,0.49399,0.38365,1.16394,1.24471,1.17783,0.0007624,0.0007624,0.0007624
26,1727.71,0.84875,0.85592,0.92963,0.70386,0.46397,0.48966,0.37984,1.15554,1.2337,1.15183,0.0007525,0.0007525,0.0007525
27,1791.59,0.84713,0.87648,0.93057,0.69592,0.46912,0.49088,0.37701,1.16144,1.29123,1.15581,0.0007426,0.0007426,0.0007426
28,1855.29,0.83714,0.85885,0.92081,0.72461,0.4691,0.50711,0.39629,1.14087,1.21631,1.15755,0.0007327,0.0007327,0.0007327
29,1919.13,0.84873,0.83438,0.92417,0.73671,0.4635,0.50598,0.39608,1.15089,1.21772,1.1643,0.0007228,0.0007228,0.0007228
30,1983.11,0.8334,0.83254,0.92477,0.71147,0.46679,0.49602,0.38371,1.15882,1.23742,1.16556,0.0007129,0.0007129,0.0007129
31,2046.33,0.85247,0.85547,0.92554,0.66268,0.46628,0.4865,0.376,1.14646,1.23856,1.15168,0.000703,0.000703,0.000703
32,2109.75,0.82914,0.81014,0.91516,0.74095,0.46928,0.50265,0.39112,1.13369,1.22582,1.1581,0.0006931,0.0006931,0.0006931
33,2173.84,0.8269,0.81687,0.92154,0.70567,0.4623,0.49911,0.38972,1.12901,1.22191,1.13812,0.0006832,0.0006832,0.0006832
34,2237.66,0.80668,0.81962,0.91291,0.71368,0.48369,0.5071,0.39414,1.13188,1.199,1.14729,0.0006733,0.0006733,0.0006733
35,2301.42,0.83445,0.80683,0.9187,0.75839,0.46584,0.51123,0.3996,1.14195,1.22514,1.1629,0.0006634,0.0006634,0.0006634
36,2366.42,0.81224,0.79465,0.91727,0.7417,0.47272,0.51183,0.40063,1.13627,1.20904,1.16076,0.0006535,0.0006535,0.0006535
37,2430.69,0.82982,0.82286,0.91778,0.75114,0.46856,0.50949,0.39842,1.11657,1.16042,1.13796,0.0006436,0.0006436,0.0006436
38,2496.59,0.80834,0.78586,0.90829,0.74767,0.45741,0.51129,0.40151,1.10474,1.15941,1.12979,0.0006337,0.0006337,0.0006337
39,2561.28,0.81747,0.79193,0.91469,0.7197,0.46175,0.49835,0.39102,1.10585,1.18458,1.14415,0.0006238,0.0006238,0.0006238
40,2625.74,0.80926,0.77159,0.91507,0.74451,0.46561,0.50592,0.39518,1.14091,1.21842,1.1544,0.0006139,0.0006139,0.0006139
41,2689.06,0.80081,0.74161,0.90965,0.73164,0.47269,0.51033,0.39899,1.11457,1.16725,1.13546,0.000604,0.000604,0.000604
42,2753.48,0.81625,0.77906,0.91584,0.74478,0.4646,0.50594,0.39771,1.11445,1.20008,1.14885,0.0005941,0.0005941,0.0005941
43,2818.54,0.79849,0.77158,0.909,0.73772,0.48019,0.51487,0.40233,1.12215,1.17082,1.14965,0.0005842,0.0005842,0.0005842
44,2883.13,0.8193,0.739,0.91369,0.73528,0.47468,0.51367,0.40378,1.11757,1.20743,1.15844,0.0005743,0.0005743,0.0005743
45,2947.59,0.80684,0.74631,0.90666,0.74406,0.48249,0.51537,0.40214,1.11506,1.16323,1.14582,0.0005644,0.0005644,0.0005644
46,3011.82,0.78715,0.75252,0.90587,0.7303,0.47449,0.50712,0.39929,1.1095,1.21531,1.14678,0.0005545,0.0005545,0.0005545
47,3076.08,0.79688,0.74883,0.9089,0.74596,0.48092,0.51689,0.40573,1.11297,1.17918,1.14197,0.0005446,0.0005446,0.0005446
48,3138.87,0.78142,0.73594,0.90948,0.74479,0.47498,0.50847,0.39676,1.11448,1.20026,1.15097,0.0005347,0.0005347,0.0005347
49,3204.87,0.79002,0.72279,0.90722,0.73232,0.46371,0.51074,0.39674,1.1162,1.17622,1.13414,0.0005248,0.0005248,0.0005248
50,3269.47,0.78414,0.71348,0.90402,0.77707,0.46731,0.5153,0.4048,1.10588,1.17773,1.15132,0.0005149,0.0005149,0.0005149
51,3332.61,0.77976,0.70101,0.90497,0.78302,0.46566,0.5221,0.41003,1.105,1.14432,1.13693,0.000505,0.000505,0.000505
52,3396.49,0.78203,0.72372,0.90223,0.71751,0.4921,0.5232,0.41134,1.0974,1.14717,1.13973,0.0004951,0.0004951,0.0004951
53,3460.7,0.78813,0.70184,0.90434,0.77121,0.47148,0.51967,0.40829,1.10913,1.14613,1.13655,0.0004852,0.0004852,0.0004852
54,3525,0.78962,0.70885,0.90291,0.74708,0.47181,0.51476,0.40674,1.10357,1.1544,1.13302,0.0004753,0.0004753,0.0004753
55,3588.88,0.78328,0.70481,0.9071,0.79048,0.46952,0.52586,0.41613,1.09769,1.15658,1.13953,0.0004654,0.0004654,0.0004654
56,3652.44,0.78505,0.69699,0.90375,0.73176,0.48263,0.52122,0.41438,1.09305,1.16499,1.13973,0.0004555,0.0004555,0.0004555
57,3716.74,0.78889,0.694,0.90549,0.71021,0.48432,0.51269,0.40572,1.09742,1.19197,1.13932,0.0004456,0.0004456,0.0004456
58,3781.72,0.75784,0.68495,0.89735,0.76448,0.47261,0.51987,0.41119,1.10102,1.1825,1.1462,0.0004357,0.0004357,0.0004357
59,3846.49,0.77208,0.69635,0.89971,0.7537,0.48441,0.52414,0.41512,1.09323,1.15734,1.13869,0.0004258,0.0004258,0.0004258
60,3909.94,0.76647,0.68523,0.89818,0.7709,0.47417,0.52314,0.41149,1.08062,1.10959,1.12149,0.0004159,0.0004159,0.0004159
61,3974.09,0.77075,0.67108,0.90154,0.7525,0.48116,0.52389,0.41135,1.10201,1.14396,1.12962,0.000406,0.000406,0.000406
62,4037.96,0.76536,0.66582,0.89971,0.75233,0.49296,0.53014,0.42103,1.08341,1.12169,1.12555,0.0003961,0.0003961,0.0003961
63,4102.72,0.76832,0.66012,0.89444,0.76292,0.49312,0.53137,0.422,1.0743,1.10699,1.11814,0.0003862,0.0003862,0.0003862
64,4166.83,0.76585,0.66583,0.89777,0.77592,0.48833,0.53356,0.42265,1.07907,1.11307,1.13155,0.0003763,0.0003763,0.0003763
65,4230.3,0.76648,0.66876,0.89595,0.74319,0.50058,0.52739,0.41611,1.08509,1.11941,1.12548,0.0003664,0.0003664,0.0003664
66,4293.43,0.77186,0.67203,0.89671,0.74004,0.48169,0.52089,0.41145,1.07825,1.15503,1.12985,0.0003565,0.0003565,0.0003565
67,4356.47,0.7853,0.67743,0.89802,0.78073,0.48571,0.53332,0.42367,1.08804,1.15745,1.13728,0.0003466,0.0003466,0.0003466
68,4420.27,0.7684,0.65816,0.90401,0.78923,0.47557,0.53344,0.42064,1.0771,1.11558,1.12834,0.0003367,0.0003367,0.0003367
69,4482.88,0.75121,0.66065,0.88986,0.7355,0.49968,0.52997,0.42194,1.06641,1.10485,1.11752,0.0003268,0.0003268,0.0003268
70,4545.58,0.72979,0.6369,0.88788,0.77964,0.46822,0.52631,0.4206,1.07079,1.12954,1.12615,0.0003169,0.0003169,0.0003169
71,4609.22,0.76124,0.64625,0.89324,0.77683,0.48205,0.53016,0.42095,1.07156,1.13193,1.12225,0.000307,0.000307,0.000307
72,4672.58,0.73913,0.64384,0.88891,0.79689,0.47146,0.53195,0.42344,1.07632,1.14201,1.13782,0.0002971,0.0002971,0.0002971
73,4735.68,0.72855,0.6285,0.88629,0.71273,0.50258,0.52833,0.42062,1.07633,1.12865,1.13677,0.0002872,0.0002872,0.0002872
74,4800.91,0.74925,0.64434,0.89737,0.76547,0.48368,0.5273,0.41932,1.07502,1.13316,1.12822,0.0002773,0.0002773,0.0002773
75,4865.71,0.74706,0.63543,0.89028,0.74296,0.48825,0.52471,0.41684,1.0714,1.11626,1.124,0.0002674,0.0002674,0.0002674
76,4929.82,0.76296,0.63381,0.88967,0.75105,0.48864,0.5281,0.42029,1.06678,1.11351,1.11958,0.0002575,0.0002575,0.0002575
77,4993.82,0.7391,0.62034,0.88756,0.74479,0.4821,0.52741,0.41899,1.08617,1.15469,1.14109,0.0002476,0.0002476,0.0002476
78,5057.43,0.7313,0.62127,0.88953,0.75052,0.47423,0.52407,0.41883,1.06445,1.12448,1.12266,0.0002377,0.0002377,0.0002377
79,5121.5,0.74162,0.6221,0.88773,0.74415,0.48047,0.52304,0.4173,1.07275,1.1371,1.13654,0.0002278,0.0002278,0.0002278
80,5184.78,0.71728,0.61707,0.88672,0.71785,0.4903,0.52511,0.41964,1.0674,1.14665,1.135,0.0002179,0.0002179,0.0002179
81,5248.18,0.73433,0.61379,0.88281,0.78602,0.4731,0.52751,0.42101,1.0631,1.11778,1.12004,0.000208,0.000208,0.000208
82,5311.89,0.73926,0.61018,0.88992,0.7443,0.4889,0.52982,0.41959,1.07833,1.13852,1.13916,0.0001981,0.0001981,0.0001981
83,5376.09,0.7353,0.62015,0.88965,0.74042,0.48895,0.52654,0.4202,1.07289,1.1213,1.13298,0.0001882,0.0001882,0.0001882
84,5439.27,0.72435,0.61244,0.88776,0.80435,0.46918,0.52719,0.41949,1.05939,1.11123,1.11916,0.0001783,0.0001783,0.0001783
85,5502.89,0.7336,0.61784,0.88925,0.77495,0.48154,0.53208,0.42434,1.05817,1.11333,1.12401,0.0001684,0.0001684,0.0001684
86,5567.33,0.73757,0.60781,0.88386,0.74557,0.4968,0.53055,0.42038,1.06866,1.12565,1.12687,0.0001585,0.0001585,0.0001585
87,5630.94,0.72709,0.5997,0.87958,0.75079,0.48704,0.52758,0.41934,1.07419,1.1389,1.13455,0.0001486,0.0001486,0.0001486
88,5695.7,0.73467,0.60694,0.89099,0.73382,0.49015,0.5249,0.41889,1.06385,1.11832,1.12531,0.0001387,0.0001387,0.0001387
89,5761.02,0.71659,0.60253,0.88648,0.74035,0.48987,0.52541,0.41797,1.06054,1.11418,1.11986,0.0001288,0.0001288,0.0001288
90,5826.15,0.72445,0.59221,0.88459,0.7399,0.48065,0.52465,0.41997,1.06045,1.11201,1.12068,0.0001189,0.0001189,0.0001189
91,5895.22,0.68125,0.56924,0.86278,0.73535,0.48839,0.52095,0.41413,1.07215,1.09138,1.12622,0.000109,0.000109,0.000109
92,5960.85,0.67202,0.55704,0.8594,0.71147,0.49991,0.52185,0.41376,1.07086,1.08304,1.12387,9.91e-05,9.91e-05,9.91e-05
93,6025.61,0.67377,0.54324,0.85517,0.75346,0.483,0.52172,0.41157,1.06465,1.07766,1.11621,8.92e-05,8.92e-05,8.92e-05
94,6089.57,0.6781,0.54242,0.85599,0.73824,0.48888,0.52233,0.41416,1.05895,1.06899,1.11433,7.93e-05,7.93e-05,7.93e-05
95,6154.83,0.67289,0.53712,0.85618,0.73791,0.49013,0.52487,0.41498,1.05234,1.05415,1.10852,6.94e-05,6.94e-05,6.94e-05
96,6220.7,0.6786,0.52825,0.85324,0.72468,0.50057,0.52611,0.41707,1.062,1.07322,1.11826,5.95e-05,5.95e-05,5.95e-05
97,6284.59,0.66357,0.52522,0.85397,0.74252,0.49146,0.52592,0.41744,1.05629,1.06792,1.11361,4.96e-05,4.96e-05,4.96e-05
98,6348.81,0.65294,0.51938,0.85081,0.74132,0.49692,0.52641,0.41961,1.0537,1.05548,1.112,3.97e-05,3.97e-05,3.97e-05
99,6412.86,0.65826,0.51571,0.85327,0.77069,0.48661,0.52933,0.42247,1.05567,1.06223,1.1135,2.98e-05,2.98e-05,2.98e-05
100,6478.09,0.6635,0.52522,0.85742,0.75633,0.49143,0.52822,0.42135,1.05317,1.06088,1.1119,1.99e-05,1.99e-05,1.99e-05
